Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"Your favorite gym buddy ❤️❤️✨ Go get after it ladies and gents!! 🫶🏼✨🎉 #gymtok #rugbytok #olympian #workouts #gymworkouts #fitness #fittok ","2307","303","7","2","13","https://www.tiktok.com/@ariana.ramsey/video/7456193263813266731"
"2024 I LOVE YOU 💖✨ #2024recap #olympics #2024 ","2388","407","9","0","4","https://www.tiktok.com/@ariana.ramsey/video/7454719361610353966"
"SO UNREAL!! 💙 #sixers Thank you so much @Philadelphia 76ers for the opportunity!! 💙💙","1900","189","7","0","1","https://www.tiktok.com/@ariana.ramsey/video/7450876363818716462"
"Happy Tuesday! Let’s go get after it!! ##usarugby##usa##fittok##fyp##rugbytok##gymworkouts##gymtok##rugby##workouts","1528","138","9","0","5","https://www.tiktok.com/@ariana.ramsey/video/7449486577455222062"
"What do you think about wearing sweatpants on the first dateit’s a no for me! 😭😂 New episode out now!!  @The Medalist Table Podcast @Noah Malone #foryou #fyp #viral #podcast ","2107","61","2","4","2","https://www.tiktok.com/@ariana.ramsey/video/7447755482413927726"
"Traveling the world is truly changing my life. I am so grateful ❤️🇿🇦✨ #rugbh #usa #southafrica #capetown ","2097","281","8","0","1","https://www.tiktok.com/@ariana.ramsey/video/7445346386041654574"
"HABIBIIII COME TO DUBAIII ✨👳🏽❤️🕌😍 #dubai #rugby ","1344","85","1","0","0","https://www.tiktok.com/@ariana.ramsey/video/7442733025604980014"
"We made it to Dubai!!! #rugby #fyp #dubaiholidayinn #dubai ","5698","239","6","31","12","https://www.tiktok.com/@ariana.ramsey/video/7440902415785659691"
"I just spoke at the Philadelphia youth summit, and boy am I feeling inspired! My only goal is to inspire people one post, one game, one speech, and one interaction at a time! 💗✨ Thank you @philayouthsports ✨ ","924","111","5","2","0","https://www.tiktok.com/@ariana.ramsey/video/7439020561147415854"
"Were live today at 6:30 PM EST!! TAPP INNN @Premier Rugby Sevens ","1202","120","6","3","0","https://www.tiktok.com/@ariana.ramsey/video/7438301459990465838"
"I’m tripping out on Sunday first game back since the Olympics??!! It’s up! 😜 LIVE ON FS2, YouTube @prsevens , and @rugbypass !! LFFGG  #rugby #fyp #usa ","1260","136","5","3","0","https://www.tiktok.com/@ariana.ramsey/video/7437899310211042602"
"Like for real though!! #oregan ","1139","92","5","1","1","https://www.tiktok.com/@ariana.ramsey/video/7437697834360540462"
