Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
I want to show up every day as the best version of me. Journaling has always been a huge part of my daily routine as an athlete and really as a person. AND IT JUST GOT A WHOLE LOT EASIER thanks to @Mirror Journal App  🥰. #mirrorjournal #digitaljournaling #journaling #ad,63800,485,10,5,45,https://www.tiktok.com/@daniellaaramirezzz/video/7478367281018309918,3/5/2025 8:44
Knox with me for tech team at the Paris World Cup! Cant wait to show off our brand new routine 🩷!!  #artisticswimming #artisticswimmer #teamusa #gelatina #KNOX #knox #gel ,127800,7329,58,193,317,https://www.tiktok.com/@daniellaaramirezzz/video/7476829259210788127,3/1/2025 5:16
Which one of us has to change 😅 #artisticswimming #artisticswimmer #teamusa ,66600,1251,8,5,32,https://www.tiktok.com/@daniellaaramirezzz/video/7476431720380697887,2/28/2025 3:33
taking the american yeehaw to france ,59700,1465,10,5,35,https://www.tiktok.com/@daniellaaramirezzz/video/7474747563376184606,2/23/2025 14:38
nothing like a show day  #artisticswimming #artisticswimmer #gelatina #KNOX #knox ,57100,1568,15,25,60,https://www.tiktok.com/@daniellaaramirezzz/video/7474668395959536926,2/23/2025 9:30
,44300,691,5,1,8,https://www.tiktok.com/@daniellaaramirezzz/video/7472978385765944606,2/18/2025 20:12
,45700,1234,4,1,25,https://www.tiktok.com/@daniellaaramirezzz/video/7472623990482242847,2/17/2025 21:17
DID I DO THIS RIGHT??? HAHAHA QUEEN OF STICKY #artisticswimming #artisticswimmer #gelatina #KNOX ,892300,15400,32,400,429,https://www.tiktok.com/@daniellaaramirezzz/video/7469953037579193631,2/10/2025 16:32
a draft from paris WHO KNEW HAHAHA,54000,1998,12,6,45,https://www.tiktok.com/@daniellaaramirezzz/video/7461142865964567839,1/17/2025 22:44
real warmups only around here ,33300,704,2,8,29,https://www.tiktok.com/@daniellaaramirezzz/video/7460557657447894314,1/16/2025 8:54
,44200,1156,12,11,28,https://www.tiktok.com/@daniellaaramirezzz/video/7459609274453445918,1/13/2025 19:33
