Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
Olympic team vs College Team! Questions? #fyp #sports #artswim ,4167,310,0,2,18,https://www.tiktok.com/@call.me.kekes/video/7499955967807835422,5/2/2025 13:59
"Going from the Olympics to OSU, ask any questions you have! #fyp #sports #olympics #osu #artswim ",2016,175,6,2,1,https://www.tiktok.com/@call.me.kekes/video/7499640320284445982,5/1/2025 17:34
Replying to @ivy Why I decided to swim in college! Is there any specifics you want to know? #fyp #usa #college #osu #sports #artswim ,2747,211,2,2,5,https://www.tiktok.com/@call.me.kekes/video/7499129124926016799,4/30/2025 8:31
"just a little about me, feel free to ask me questions! #fyp #sports #artswim ",9077,1081,25,7,41,https://www.tiktok.com/@call.me.kekes/video/7498884836652797215,4/29/2025 16:43
Salmon bowl with bok choy and pork dumplings! #foodie #cooking #fyp ,1220,52,2,0,3,https://www.tiktok.com/@call.me.kekes/video/7495596453528669471,4/20/2025 20:02
so good!! i love finding new amazing coffee places 🤩@7brewcoffee #coffee #fyp ,1075,55,2,1,0,https://www.tiktok.com/@call.me.kekes/video/7495149560147250462,4/19/2025 15:08
sushi night challenge @Landon #foodie #sushi #fyp ,1090,44,7,3,1,https://www.tiktok.com/@call.me.kekes/video/7493714679651503390,4/15/2025 18:20
guess what sport we are #fyp #trending #team ,6659,107,4,0,1,https://www.tiktok.com/@call.me.kekes/video/7471786222281624862,2/15/2025 15:06
happy valentine’s day :)🫶@Landon #valentinesday #trending ,1296,57,3,2,1,https://www.tiktok.com/@call.me.kekes/video/7471377890303692062,2/14/2025 12:42
Lets go LA28 🤩🤩🇺🇸💪🏼#olympics #LA #usa #trending #flag #fypシ゚viral @Team USA  @LA28 @delta ,10600,525,3,5,24,https://www.tiktok.com/@call.me.kekes/video/7402645743418215710,8/13/2024 8:26
so much walking in so  much heat 😂 was amazing though 🤩 #olympics #fypシ゚viral #trendin #usa ,12400,485,6,9,22,https://www.tiktok.com/@call.me.kekes/video/7402033604068396319,8/11/2024 16:50
closing ceremony type beat #paris #olympics #closing #2024 #hottogochappellroan #chappellroan ,3680,266,3,3,13,https://www.tiktok.com/@call.me.kekes/video/7402020187425295646,8/11/2024 15:58
silver medalist babyyyyy #olympics #medal #silver #paris #2024 #trendin ,41600,3084,22,15,84,https://www.tiktok.com/@call.me.kekes/video/7400814568957594911,8/8/2024 10:00
actually it’s a penalty 😆 #olympics #sports #teamusa #trendingsong #artisticswimming #swimming ,8875,337,4,1,10,https://www.tiktok.com/@call.me.kekes/video/7399293808099347742,8/4/2024 7:38
tragic loss #muffin #usa #olympics #village #food #fypシ゚viral #flop @Daniella Ramirez @Audrey ,2805,107,1,2,3,https://www.tiktok.com/@call.me.kekes/video/7398904506320293151,8/3/2024 6:28
❤️turkey sammiches #village #olympics #chill #sammich #usa #bear ,2524,113,0,0,3,https://www.tiktok.com/@call.me.kekes/video/7398592298101034271,8/2/2024 10:16
nervous bc simone biles looked at us doing this 😭👯‍♀️ #team #usa #olympics #skims #village #kimkardashian ,15200,729,1,16,18,https://www.tiktok.com/@call.me.kekes/video/7398165405640019231,8/1/2024 6:40
can comfirm muffin=perfection #olympicvillage #olympics #usa #muffin ,7440,357,10,5,12,https://www.tiktok.com/@call.me.kekes/video/7397891529827732766,7/31/2024 12:57
it is in fact a big deal tho 💪🏼🇺🇸 so honored 🤩#trending #olympics #teamusa #artisticswimming #fypシ゚viral ,4139,261,3,3,4,https://www.tiktok.com/@call.me.kekes/video/7397837120393481503,7/31/2024 9:26
This trend but USA Gear in different USA Team Places 🇺🇸🇺🇸#teamusa #trending #olympics #paris #artisticswimming ,359000,4260,6,11,102,https://www.tiktok.com/@call.me.kekes/video/7397441076329581855,7/30/2024 7:49
dreams come true🤩💖 #paris @Team USA @USA Artistic Swimming @WorldAquatics #olympics #fypage #chlorine #fypシ゚viral #teamusa #trending #artisticswimming @Daniella Ramirez @rubyrem @jaime @ANITA KAY @Audrey,2332,139,5,7,6,https://www.tiktok.com/@call.me.kekes/video/7396385401168071967,7/27/2024 11:32
Chlorine is not our friend 😭😭@Daniella Ramirez #chlorine #swimming #fypシ゚viral #teamusa #olympics ,33400,1233,0,41,26,https://www.tiktok.com/@call.me.kekes/video/7394194995135122718,7/21/2024 13:53
@Daniella Ramirez we match ;)👯‍♀️💖#trending #roommates #artisticswimming #fypシ゚viral ,7401,785,5,35,37,https://www.tiktok.com/@call.me.kekes/video/7390879062434073886,7/12/2024 15:25
